run_idx,mode,fiber_vf,f_r,mu,sigma,db_t,crc_no,debond_fraction,base_angle,P_eff
78,cracks,0.27745029184234393,0.6748288038023393,0.506390829320393,1.6208253586199939,0.10241681427508958,8,0.0,0.848983519418637,0.0657485476310895
79,baseline,0.1996291790567582,0.5871403841960625,0.4800726172546811,2.0301297698549448,0.1029225696844063,0,0.0,2.4828380411433204,0.07423519936356544
80,cracks,0.11851963143202793,0.7483950668888302,0.49228037968187455,1.9686875691174537,0.09318366866852609,6,0.0,2.6662184024671682,0.08403525300132489
81,baseline,0.1254494041684918,0.512599939515858,0.6818453844476361,2.2063739017389894,0.14682812659977112,0,0.0,1.5388286175242436,0.08236105448178405
82,baseline,0.1783042191419579,0.7634136368638302,0.7127946031386457,2.283194010721349,0.1472241121895242,0,0.0,0.7805767080250906,0.07441023266467028
83,baseline,0.14476008289214728,0.37603411943601667,0.7859437595385128,1.16333562070307,0.1325395351065213,0,0.0,2.2022681141725826,0.08081752950763324
84,mixed,0.1170006760232164,0.6884308078868175,0.3006830199893512,1.1884776566093058,0.10693822869652517,2,0.5518540434577699,0.9543601214219591,0.12407009032908842
85,cracks,0.22529454715817263,0.5641265714030381,0.5187152642703872,2.145766076953702,0.05994447847481959,6,0.0,1.647566427576266,0.07230741708805147
86,cracks,0.17761638948452751,0.4117915168050199,0.600530448560238,1.0156924598382002,0.08015213012425157,9,0.0,0.8752591811199193,0.07834441669977656
87,debond,0.22891512787254334,0.7418870145170301,0.5376521100337718,1.352152145061667,0.07470583843386236,0,0.7724299608786933,2.2137347704187182,0.16984352375153988
88,debond,0.1110617429342678,0.39705761260654865,0.7424242625924321,1.9707525344939814,0.05810920689795623,0,0.2594883573587875,1.333048145305746,0.10645970143519687
89,debond,0.14535721464893736,0.3170487116866662,0.46902578517173316,1.6308352689704286,0.11825666829672322,0,0.2386557467634039,2.5040510889473797,0.11927722491535304
90,baseline,0.14104371740772664,0.7849293611959136,0.4558578713456433,2.2300067416645577,0.07308088128649746,0,0.0,0.6956831150314613,0.07915168665897439
91,debond,0.12180161319960188,0.6117985073319253,0.6050491556052611,2.344714271537857,0.09850527377205273,0,0.7372771998174934,0.1772394758906007,0.13865757063352177
92,cracks,0.28438470869281884,0.3271791898196528,0.31181435947909836,1.8941907078986362,0.09153849337387124,13,0.0,0.18892047264509934,0.06480381861194058
93,mixed,0.189928392914187,0.6560173730685697,0.45709998359055726,1.1698083392999672,0.05793611923724077,4,0.33046993191151663,0.5828037331234318,0.10893357572732117
94,mixed,0.10637873755667678,0.632214931865697,0.48930970817479114,1.5608254296889479,0.08316974896373983,4,0.1762703433782571,0.24580453466600277,0.09723211088683661
95,baseline,0.17029337200549716,0.7777574162377888,0.3618541410607431,2.4464068236813503,0.0707402433306945,0,0.0,1.1203837404611996,0.07661100606702931
96,debond,0.2644015964924339,0.5162246670117984,0.3246286679255086,1.7101960762856434,0.08727143894249874,0,0.7436544933352116,0.6064096524262342,0.2060542557162728
97,debond,0.24746396079211436,0.5372671702142136,0.6158310629829833,1.37201957194311,0.11254083049794136,0,0.38334082684259585,1.179880601567348,0.13953688051281318
98,mixed,0.11251598865291189,0.7600383604392554,0.4285079762151146,2.1209302067330302,0.1398551788967969,7,0.3540820016758164,1.0523421610561337,0.11873237748502709
99,baseline,0.1524344947136013,0.658317873215591,0.4582418155827674,1.413445490942216,0.050377161593416375,0,0.0,2.3739519421326216,0.0786770612451411
100,baseline,0.10485134098830569,0.4169331301274201,0.5375945289268016,2.4351664759115565,0.14539105801012864,0,0.0,1.214272020966596,0.08622765825427352
101,debond,0.2827087930290968,0.7074001256133386,0.36635363745726424,1.7448109110773269,0.050870518239265916,0,0.7517393657337249,0.9528914888410726,0.09860676859773468
102,cracks,0.22145084624907746,0.46389990546272086,0.45977439083449984,1.5427876612227376,0.12822486206570044,3,0.0,1.608133464986222,0.07033465976839026
103,mixed,0.25057713413229193,0.4236537561109541,0.3323665129003897,1.0507955791245016,0.10525946434186145,7,0.21248467032744767,1.340059758540457,0.10798821759492577
104,baseline,0.2975647659185008,0.43244565808997143,0.34204129877813544,1.1446338678269863,0.09984752683969744,0,0.0,2.2298118965574023,0.06260097183926239
105,mixed,0.13463837241261645,0.36646558052614564,0.5304618828755157,2.3368938379821396,0.07349333148298937,10,0.6928909520932407,2.0873533971570595,0.15874204094867778
106,baseline,0.25595011836420173,0.4469617087162366,0.43969845535935537,1.4014988210756818,0.07540565039073484,0,0.0,0.8178666868582478,0.06648891662093487
107,mixed,0.1494858252789623,0.4226701484453082,0.37666109979657114,2.326251729289832,0.10782807557899514,7,0.14536286650038296,0.7905935587840625,0.10256400712272785
108,cracks,0.2014649026487898,0.4156904721619213,0.7042214456965865,1.9799898281386012,0.14909556510822708,3,0.0,0.014112348799563053,0.07503715539245247
109,cracks,0.26811127282425334,0.7571877769152682,0.32018093271882153,1.4405161987940893,0.06192166287481126,5,0.0,1.8865053765055595,0.0648564514658339
110,cracks,0.2860347495602318,0.4861184817279465,0.7330636642044746,1.6736707866531855,0.07599482221528754,14,0.0,2.0883913009294077,0.06543644521166081
111,baseline,0.12115601247170163,0.5980735328410047,0.6099739899847643,1.3264681328548622,0.0868708553463344,0,0.0,0.44412533455661046,0.0844377124169559
112,cracks,0.29997475185232414,0.31911799832963705,0.66611422394083,2.3709327303257783,0.1314743720079808,15,0.0,1.028083783149017,0.08262629606157611
113,debond,0.13702901992352873,0.456097866885121,0.40170388605991963,2.1929217520612316,0.10480448341630921,0,0.14428975496976848,0.3185190654248747,0.09691166130551992
114,mixed,0.23280528716763496,0.3772760832279248,0.5669985819278381,1.979587526958689,0.08977721310809693,6,0.38685224497144755,0.8900169514490639,0.15182962845780568
115,debond,0.18356907658754115,0.32568034199015006,0.6726687824968995,2.325542312381957,0.09140800268683238,0,0.11274922717342123,2.4085416547199037,0.09411348125150647
116,debond,0.22889564215719935,0.4953655582965601,0.5024867206948518,2.412981115347258,0.09341642327728165,0,0.20959680822959809,0.3566942058610092,0.1020642222786992
117,baseline,0.18124353673725674,0.7414189732250835,0.5304531178364698,1.2438168689233262,0.051483437457453755,0,0.0,1.7327386931425728,0.07581790304040974
118,mixed,0.11780622239837722,0.6110972975463702,0.4854218123005663,1.7566945944542325,0.06458868261273573,6,0.21327030632504235,0.5396794424598415,0.10428822010523064
119,baseline,0.12175856885870509,0.545254824882581,0.7024068072145611,2.4503141098250794,0.06973417051256842,0,0.0,0.3978838234100229,0.08376969010499447
120,baseline,0.29510931657671724,0.5413682427798434,0.32668727415667737,2.3892517198216288,0.08878951824180366,0,0.0,2.84069357057305,0.062043845786028055
121,cracks,0.228064885416367,0.7282937728690917,0.6105265438723733,1.9220936579222012,0.06961129444031991,9,0.0,0.5748032076607484,0.08246340157766746
122,cracks,0.10834251552782292,0.7692745265286136,0.37823944979748264,1.5388115024908262,0.06494671422769047,13,0.0,2.5624392299325756,0.08740767097093359
123,cracks,0.10821980667689818,0.5811716342064923,0.6787306274185085,1.0571930520373929,0.13382042596057264,3,0.0,1.2247075378227135,0.0862917536677513
124,mixed,0.21001036740691903,0.6135212092775336,0.4531070718505526,1.6301077974015281,0.10826246607993456,8,0.3724484381168328,1.1543782508308515,0.12457112985998342
125,mixed,0.13575278375055683,0.30175404779200204,0.7930688049253136,1.6979097042447058,0.09468188715246706,11,0.645982423970693,1.4397574841039147,0.16694157820056546
126,cracks,0.2621058709520382,0.5001711730177554,0.33356032866409374,1.537862607433636,0.08653323135652627,14,0.0,1.388480699621713,0.06574635574898718
127,baseline,0.10813032632535252,0.3651354830050506,0.7610629965867111,1.4705887747291784,0.12203934677800665,0,0.0,0.25122673576919724,0.08654872112799022
128,mixed,0.23054913126061552,0.6921213862902884,0.31292824319403656,1.0995710081919006,0.11141237745589344,13,0.6704926138871284,0.608549440658893,0.1662620861735812
129,mixed,0.15757631951069723,0.7054974649699077,0.6974879352938812,2.0292009352339226,0.12210792968465646,5,0.14586134689394575,1.1023766898218599,0.10275965907089302
130,debond,0.13175348985767216,0.7482686207202514,0.43749629596271433,2.22343998167369,0.06435722951156005,0,0.451552553288858,2.889975623784938,0.11197161039510829
131,cracks,0.2183775533182437,0.6079331200793645,0.4186995890702214,1.5584004227463124,0.06989421485520629,8,0.0,0.5065169319684588,0.07010014202725609
132,debond,0.23593599100086737,0.7477065517635675,0.38437102210567947,2.177303972814316,0.0615078700842453,0,0.47150486285984594,1.9990540750922512,0.11070079422092237
133,debond,0.2932309834256054,0.5265192961513255,0.5607262565942246,2.0330930674359378,0.13961010657594264,0,0.27642211612364814,1.6829551809903023,0.12457111720390211
134,mixed,0.24758462428699524,0.48573311069888664,0.4878698914889181,1.5534167167994437,0.06461954441685333,7,0.635247434355094,1.3894687129620842,0.1850289747538191
135,cracks,0.223074729358546,0.7789899626683126,0.44819170094961036,1.774160156998625,0.0810072441691442,15,0.0,1.8405659090777937,0.07061377783638463
136,debond,0.24660775512723768,0.6735598923034711,0.41081875543804747,1.4364574285155391,0.11256179990785782,0,0.39238087578769465,1.1438507283292403,0.1299613934923592
137,baseline,0.12640465868770256,0.41362982024445916,0.6265542128890145,1.0334342835961992,0.05026154932910291,0,0.0,1.1151478170347577,0.0839218107628302
138,baseline,0.20461775117688108,0.5670565553913227,0.5066192313417454,1.451732474443595,0.06337267101122765,0,0.0,1.1505597110965793,0.07369309089680927
139,mixed,0.13172468712143406,0.30705601251345466,0.7007513867452303,2.061208924084675,0.0950853102622961,3,0.5467470675802539,2.737224440006461,0.1470726699513573
140,debond,0.18039057822759527,0.43211991998231186,0.305748018831501,1.967421045387693,0.10623311764946322,0,0.3452328929029925,2.0282250997703577,0.12793411407428834
141,mixed,0.22037629326754377,0.5587912482526987,0.546425830753509,1.2476487484220802,0.05003995749652534,2,0.4720691801433091,1.2754511940872297,0.12302717016461721
142,cracks,0.13184332409259553,0.7558709814357468,0.35245891590546846,1.9189593816279205,0.11567999120125219,5,0.0,0.44694353198854325,0.0811939770218945
143,cracks,0.20365161837351764,0.6213468436410583,0.6237983533798529,1.622866777480179,0.11131836486953456,10,0.0,0.9719537617823112,0.07504049999271206
144,debond,0.2251927629835766,0.7970306749990299,0.662153037574046,1.7168879030130648,0.10384063423152967,0,0.36261111863779083,1.3717684695616936,0.11480755523265813
145,mixed,0.11609571090602121,0.6277656303811343,0.3876958639396295,2.494915717526693,0.07614267411254098,12,0.1271722941568983,1.0540547801419435,0.095356363580769
146,debond,0.2423368454762293,0.4329938532258046,0.5768938790233242,1.6540790835663717,0.12884500169551014,0,0.46627124384287166,0.8334527353652411,0.1857101658900017
147,cracks,0.1170842228532511,0.5537142858476478,0.3848847898109579,2.3570537854296263,0.13417228962770006,5,0.0,2.9678559678681964,0.08337583068550174
